"Marca temporal","Sexo del viajante","Edad del viajante","Año en el que se realizó","Medio de transporte principal utilizado","Duración aproximada del viaje (en dias)","Dinero gastado (en €)","Localización del destino","Número de acompañantes","Tipo de acompañantes (en caso de haber varias respuestas correctas, seleccione la que corresponda a un número mayor de acompañantes)","¿Cómo organizó el viaje?","Satisfacción con el viaje realizado","  ¿Cuál es el factor que le impide viajar más?  (Seleccione 1 o más factores)"
"2019/11/08 3:46:39 p. m. CET","Hombre","22","2019","Bus","4","220","Península","1","Otro","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/08 3:48:46 p. m. CET","Hombre","21","2019","Avión","5","150","Europa","8","Amigos","Páginas web / aplicaciones","10","Falta de tiempo"
"2019/11/08 3:48:50 p. m. CET","Mujer","21","2019","Coche","1","300","Península","1","Familiares","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/08 3:49:40 p. m. CET","Hombre","18","2019","Tren","1","50","Península","2","Familiares","Otra persona","8","Ya viajo lo suficiente"
"2019/11/08 3:50:59 p. m. CET","Hombre","18","2019","Coche","5","200","Península","3","Familiares","Otra persona","8","Falta de dinero"
"2019/11/08 3:51:01 p. m. CET","Mujer","21","2019","Avión","8","300","Europa","8","Amigos","Páginas web / aplicaciones","10","Falta de tiempo"
"2019/11/08 3:52:29 p. m. CET","Hombre","18","2019","Avión","10","800","Europa","2","Familiares","Otra persona","8","Ya viajo lo suficiente"
"2019/11/08 3:54:06 p. m. CET","Mujer","21","2019","Bus","2","250","Península","1","Otro","Páginas web / aplicaciones","10","Falta de dinero;Dificultad en la organización del viaje"
"2019/11/08 3:56:29 p. m. CET","Mujer","20","2019","Tren","6","150","Península","1","Amigos","Otra persona","8","Falta de dinero;Falta de tiempo"
"2019/11/08 3:57:03 p. m. CET","Mujer","20","2019","Avión","5","400","África","2","Amigos","Páginas web / aplicaciones","8","Falta de dinero"
"2019/11/08 3:57:26 p. m. CET","Mujer","18","2019","Coche","3","72","Península","20","Otro","Otra persona","7","Ya viajo lo suficiente"
"2019/11/08 3:58:31 p. m. CET","Mujer","21","2019","Avión","10","400","Europa","7","Amigos","Otra persona","10","Falta de tiempo"
"2019/11/08 4:09:43 p. m. CET","Hombre","17","2019","Avión","1","1000","Europa","5","Familiares","Agencia de viajes","8","Falta de dinero"
"2019/11/08 4:11:18 p. m. CET","Mujer","19","2019","Bus","6","350","Península","6","Amigos","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/08 4:12:37 p. m. CET","Hombre","18","2019","Bus","14","700","Europa","5","Amigos","Otra persona","10","Falta de tiempo"
"2019/11/08 4:13:49 p. m. CET","Mujer","20","2019","Avión","6","700","Europa","2","Familiares","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/08 4:14:00 p. m. CET","Hombre","17","2019","Coche","6","300","Península","3","Familiares","Páginas web / aplicaciones","7","Falta de dinero;Falta de tiempo;Dificultad en la organización del viaje"
"2019/11/08 4:14:40 p. m. CET","Hombre","19","2019","Coche","10","700","Península","3","Familiares","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/08 4:22:40 p. m. CET","Mujer","19","2019","Coche","2","200","Península","3","Otro","Otra persona","10","Falta de dinero"
"2019/11/08 4:37:51 p. m. CET","Mujer","18","2019","Avión","7","800","Península","2","Familiares","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/08 4:40:58 p. m. CET","Mujer","18","2019","Bus","7","300","Península","5","Amigos","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/08 4:43:36 p. m. CET","Mujer","19","2019","Bus","3","100","Península","2","Amigos","Otra persona","8","Falta de tiempo"
"2019/11/08 4:43:40 p. m. CET","Mujer","19","2019","Bus","3","100","Península","2","Amigos","Otra persona","8","Falta de tiempo"
"2019/11/08 4:49:06 p. m. CET","Mujer","23","2019","Bus","3","120","Península","2","Amigos","Páginas web / aplicaciones","10","Falta de tiempo"
"2019/11/08 4:50:19 p. m. CET","Hombre","18","2019","Coche","6","1500","Europa","3","Familiares","Páginas web / aplicaciones","8","Falta de tiempo"
"2019/11/08 4:50:30 p. m. CET","Mujer","23","2019","Avión","8","600","Asia","1","Amigos","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/08 5:04:15 p. m. CET","Hombre","55","2019","Coche","13","2351","Europa","1","Familiares","Agencia de viajes","8","Falta de tiempo"
"2019/11/08 5:07:44 p. m. CET","Hombre","18","2019","Bus","5","150","Península","3","Amigos","Páginas web / aplicaciones","8","Ya viajo lo suficiente;Falta de dinero;Falta de tiempo;Dificultad para encontrar gente con la quien viajar"
"2019/11/08 5:12:08 p. m. CET","Mujer","19","2019","Bus","1","60","Península","4","Amigos","Otra persona","8","Falta de dinero;Falta de tiempo"
"2019/11/08 5:12:58 p. m. CET","Mujer","22","2019","Avión","4","400","Europa","2","Familiares","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/08 5:20:31 p. m. CET","Mujer","20","2019","Coche","10","300","Península","1","Otro","Otra persona","9","Falta de dinero;Falta de tiempo"
"2019/11/08 5:26:31 p. m. CET","Hombre","18","2019","Coche","3","600","Península","4","Familiares","Otra persona","8","Falta de tiempo"
"2019/11/08 5:35:16 p. m. CET","Hombre","20","2018","Coche","1","600","Península","3","Familiares","Agencia de viajes","10","Falta de dinero;Falta de tiempo"
"2019/11/08 5:36:30 p. m. CET","Mujer","18","2019","Avión","7","500","Europa","2","Familiares","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/08 5:39:25 p. m. CET","Mujer","23","2019","Tren","3","70","Península","7","Amigos","Páginas web / aplicaciones","9","Falta de dinero;Dificultad para encontrar gente con la quien viajar"
"2019/11/08 5:45:28 p. m. CET","Hombre","18","2019","Avión","15","1800","África","5","Familiares","Páginas web / aplicaciones","9","Dificultad en la organización del viaje"
"2019/11/08 5:47:46 p. m. CET","Mujer","22","2019","Bus","4","250","Península","1","Familiares","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/08 5:48:22 p. m. CET","Mujer","18","2019","Coche","1","20","Península","3","Amigos","Otra persona","9","Falta de dinero;Falta de tiempo"
"2019/11/08 5:49:20 p. m. CET","Hombre","18","2018","Avión","7","550","Europa","90","Amigos","Otra persona","10","Falta de dinero"
"2019/11/08 5:56:34 p. m. CET","Mujer","23","2019","Coche","4","700","Península","4","Familiares","Otra persona","10","Falta de dinero;Falta de tiempo"
"2019/11/08 5:58:59 p. m. CET","Mujer","22","2019","Avión","7","500","Europa","5","Amigos","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/08 6:04:13 p. m. CET","Mujer","20","2019","Bus","6","70","Península","2","Amigos","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/08 6:26:48 p. m. CET","Hombre","22","2018","Avión","5","500","Europa","3","Amigos","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/09 2:14:49 a. m. CET","Hombre","21","2019","Avión","5","150","Europa","8","Amigos","Páginas web / aplicaciones","10","Falta de tiempo"
"2019/11/09 11:11:39 a. m. CET","Mujer","23","2019","Coche","3","150","Península","1","Otro","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/10 12:46:38 a. m. CET","Mujer","28","2019","Coche","5","300","Península","6","Amigos","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/10 8:43:22 p. m. CET","Mujer","21","2019","Bus","3","180","Europa","90","Otro","Agencia de viajes","9","Falta de dinero"
"2019/11/10 11:28:18 p. m. CET","Hombre","23","2019","Coche","5","1500","Península","2","Familiares","Agencia de viajes","8","Ya viajo lo suficiente"
"2019/11/11 4:49:39 p. m. CET","Hombre","20","2019","Coche","11","0","Península","2","Familiares","Otra persona","7","Falta de tiempo;Dificultad en la organización del viaje"
"2019/11/11 7:17:43 p. m. CET","Hombre","22","2019","Coche","2","150","Península","1","Otro","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/12 7:04:47 a. m. CET","Mujer","22","2019","Bus","3","700","Península","2","Familiares","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/12 10:58:54 p. m. CET","Mujer","21","2019","Bus","6","250","Península","1","Otro","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/14 2:38:49 a. m. CET","Mujer","23","2019","Bus","4","100","Península","4","Amigos","Otra persona","10","Falta de tiempo"
